bw_date,bw_lat,bw_lon,reef_zone,cloud_cover,bleaching,bleaching_sev,notes
6/23/2014,24.54877,-81.58702,patch reef,clear,yes,1-10%,Some disease on Encrusting/Mound/Boulder coral.
6/24/2014,24.71264,-80.97309,mid-channel reef,clear,no,0%,
6/25/2014,24.54577,-81.40427,reef,no data,no,0%,
6/25/2014,24.57917,-81.49692,mid-channel reef,no data,yes,no data,
6/25/2014,24.68412,-81.01097,mid-channel reef,partly cloudy,no,0%,
6/25/2014,24.63342,-81.08773,patch reef,partly cloudy,yes,1-10%,
6/26/2014,24.5685,-81.32565,patch reef,no data,yes,1-10%,
6/27/2014,24.59428,-81.22985,hardbottom,no data,no,0%,
6/27/2014,24.6033,-81.20612,patch reef,no data,no,0%,
6/27/2014,24.6008,-81.24933,patch reef,no data,no,0%,
6/27/2014,24.5868,-81.23652,reef,no data,no,0%,
6/27/2014,24.58533,-81.25307,hardbottom,no data,no,0%,
6/28/2014,24.90047,-80.61723,patch reef,clear,yes,1-10%,Palythoa
6/28/2014,24.77828,-80.7359,patch reef,clear,yes,1-10%,Palythoa
6/29/2014,25.03428,-80.34822,reef,clear,yes,1-10%,fire coral
6/29/2014,25.01052,-80.37251,reef,no data,yes,no data,
6/30/2014,25.04059,-80.42352,patch reef,clear,no,0%,
7/1/2014,24.61928,-81.37445,patch reef,partly cloudy,yes,1-10%,
7/1/2014,24.58,-81.1025,patch reef,clear,yes,1-10%,
7/1/2014,24.67028,-80.9747,patch reef,mostly cloudy,no,0%,
7/1/2014,24.51143,-81.56773,patch reef,clear,no,0%,
7/1/2014,24.51258,-81.56483,patch reef,clear,no,0%,
7/2/2014,24.561,-81.4583,patch reef,no data,no,0%,
7/2/2014,24.55277,-81.3806,patch reef,no data,no,0%,
7/2/2014,24.55268,-81.3823,patch reef,no data,no,0%,
7/3/2014,24.52168,-80.9503,patch reef,clear,no,0%,
7/5/2014,25.13633,-80.28932,reef,mostly cloudy,yes,1-10%,Palythoa
7/6/2014,24.51258,-81.56483,patch reef,clear,no,0%,
7/6/2014,24.52312,-81.57818,patch reef,clear,no,0%,
7/7/2014,24.68489,-80.96512,patch reef,clear,no,0%,
7/8/2014,24.54521,-81.40728,reef,no data,no,0%,
7/8/2014,24.83663,-80.72837,patch reef,partly cloudy,yes,11-30%,
7/9/2014,24.56172,-81.34995,hardbottom,no data,no,0%,
7/9/2014,24.55887,-81.3536,patch reef,no data,no,0%,
7/9/2014,24.5572,-81.37962,patch reef,no data,no,0%,
7/9/2014,24.57428,-81.32838,hardbottom,no data,yes,1-10%,
7/9/2014,25.14847,-80.36125,hardbottom,partly cloudy,no,0%,
7/9/2014,25.14083,-80.31475,patch reef,partly cloudy,no,0%,
7/10/2014,24.69153,-81.02535,patch reef,cloudy,yes,1-10%,
7/11/2014,24.61762,-81.36312,patch reef,partly cloudy,no,0%,Some disease on fan coral.
7/13/2014,24.55182,-81.38751,patch reef,no data,yes,1-10%,
7/14/2014,24.83625,-80.72832,patch reef,partly cloudy,yes,1-10%,
7/15/2014,24.70292,-80.8945,patch reef,partly cloudy,yes,1-10%,"Lots of branching coral covered in algae, though contains signs of new growth."
7/15/2014,24.67037,-80.9746,patch reef,cloudy,no,0%,
7/17/2014,24.76632,-80.75245,reef,clear,yes,1-10%,A cervicornis - a few looked pale but most looked great; D clivosa - a few colonies bleached very white (photos)others were pale; no disease observed
7/18/2014,24.61745,-81.36982,patch reef,clear,no,0%,
7/18/2014,25.11167,-80.30917,mid-channel reef,partly cloudy,yes,1-10%,black band
7/20/2014,24.51594,-81.92484,patch reef,no data,yes,11-30%,
7/20/2014,24.26238,-80.62347,patch reef,clear,yes,11-30%,Pictures in email to follow for this site.
7/21/2014,24.52327,-81.51572,reef,no data,yes,1-10%,Ssid
7/21/2014,24.55229,-81.3838,reef,no data,no,0%,
7/22/2014,24.71237,-80.94523,mid-channel reef,mostly cloudy,yes,1-10%,Minor bleaching on S. sidereal starting at the bottom.  Blotchy spots on some d. strigosa.  BBD on D strigosa and S. siderea
7/22/2014,24.51368,-81.9252,patch reef,clear,yes,1-10%,"Minor bleaching o. annularis, paling on O. faveolata.  Most colonies still look good with no sign of heat stress.  BBD on several O. faveolata and S. siderea."
7/23/2014,24.53145,-81.48355,patch reef,no data,no,0%,
7/23/2014,24.55262,-81.38171,patch reef,no data,no,0%,
7/25/2014,24.7125,-80.94585,mid-channel reef,partly cloudy,yes,1-10%,I could look up temp from my computer if you want it. mostly CNAT and SSID
7/30/2014,24.5245,-81.5786,patch reef,partly cloudy,no,0%,
7/30/2014,25.13139,-80.29443,reef,no data,yes,no data,small amount of paling on Palythoa
8/1/2014,24.76688,-80.72913,deep reef,clear,yes,1-10%,Ssid partial bleaching; P natans - pale
8/1/2014,24.76332,-80.75575,reef,clear,yes,1-10%,S sid  bleached; D stri partial bleaching; 
8/1/2014,24.644,-81.07183,other/don't know,partly cloudy,no,0%,"Coral growing on a sunken barge, no bleaching."
8/1/2014,24.70303,-81.89457,other/don't know,partly cloudy,yes,1-10%,
8/2/2014,24.666,-81.07095,hardbottom,no data,yes,31-50%,
8/4/2014,24.58786,-81.43532,mid-channel reef,no data,yes,11-30%,"Diploria, Cnat, Efas, Ofav, Mcav, Myceto, Ppor, Past, Odif, Ssid"
8/4/2014,24.5799,-81.45328,mid-channel reef,no data,yes,11-30%,"Diploria, Cnat, Efas, Ofav, Mcav, Myceto, Ppor, Past, Odif, Ssid"
8/5/2014,24.57975,-81.56392,patch reef,no data,no,0%,
8/5/2014,24.59882,-81.55935,patch reef,partly cloudy,yes,31-50%,Fire Coral was completely bleached
8/5/2014,24.59695,-81.5621,patch reef,clear,yes,31-50%,Algae on top of brain corals. Bright lime-green coloration on some mound coral.
8/5/2014,24.45492,-81.85597,reef,no data,no,0%,
8/5/2014,24.47923,-81.7175,reef,no data,yes,1-10%,"Ofav, Past, Odif"
8/5/2014,24.51628,-81.58486,other/don't know,no data,no,0%,
8/5/2014,24.52515,-81.53953,deep reef,no data,no,0%,
8/6/2014,24.54521,-81.40728,reef,no data,no,0%,Lots of Very Active BBD
8/6/2014,24.77828,-80.7359,patch reef,clear,yes,11-30%,"Bleached: P porites, Diploria spp, A cervicornis; 
Pale: A cerv, M cavernosa; Gorgonians: A americana, A anceps, Plexaura, Pterogorgia spp
Black band: D clivosa"
8/6/2014,24.55251,-81.38348,patch reef,no data,no,0%,
8/6/2014,24.59097,-81.37857,mid-channel reef,no data,yes,11-30%,"Diploria, Cnat, Efas, Ofav, Mcav, Myceto, Ppor, Past, Odif, Ssid"
8/7/2014,24.53725,-81.44683,deep reef,no data,yes,11-30%,"Mcav, Ssid, Aaga, Past, Ppor"
8/7/2014,24.56023,-81.50127,mid-channel reef,no data,yes,11-30%,"Mcav, Ssid, Aaga, Past, Ppor, Oann, Ofav, Efas"
8/8/2014,24.61545,-82.94653,patch reef,clear,yes,1-10%,"5% of cervicornis pale, 15% of sid pale"
8/8/2014,24.56112,-81.50558,mid-channel reef,no data,yes,11-30%,Mmea and Oculina completely bleached.  BBD  Ssid paling
8/8/2014,24.53697,-81.43748,deep reef,no data,yes,1-10%,Usual
8/8/2014,24.5858,-81.58121,mid-channel reef,no data,yes,11-30%,
8/8/2014,24.52327,-81.56143,mid-channel reef,no data,yes,1-10%,"Ssid, Sint, Past, Ppor"
8/8/2014,24.54521,-81.40728,hardbottom,no data,yes,76-100%,"Ssid, Past, Ppor"
8/8/2014,24.5684,-81.45913,mid-channel reef,no data,yes,11-30%,"Ssid, Past, Ppor, Sint, and BBD on several colonies"
8/8/2014,25.22196,-80.2103,reef,no data,no,0%,
8/8/2014,25.13822,-80.2888,reef,partly cloudy,yes,1-10%,
8/8/2014,25.13822,-80.2888,reef,partly cloudy,yes,0%,
8/9/2014,24.66814,-82.92585,reef,partly cloudy,yes,1-10%,"approx. 15% of Orbicella Fav, 100% of Sid sid, 40% of sid rad, 50% of Palythoa, 25% of Millipore, 25% of cavernosa, and 50% of agaricia agaricites (2 of 4 colonies)showed signs of paling.  No bleaching was observed."
8/9/2014,24.63503,-82.92137,patch reef,partly cloudy,yes,no data,"Approx. 35% of sid sid , 1% of favolata, 50% of fire coral, 100% of agaricia agaricites (2 of 2 colonies) showed signs of paling"
8/9/2014,24.62355,-82.94247,other/don't know,clear,yes,no data,"Palythoa pale 15%, fire coral pale 15%, sid sid pale 25%"
8/9/2014,25.01052,-80.37251,reef,no data,no,0%, 
8/10/2014,24.70241,-82.79955,other/don't know,partly cloudy,yes,1-10%,
8/10/2014,24.60871,-81.88946,inshore,no data,yes,no data, 
8/10/2014,24.62828,-82.87458,other/don't know,clear,yes,1-10%,"Note: Observations were made from the surface; not from in the water Inside the moat:  Sid rad pale 100%Outside the moat: fire coral pale 100%, Palythoa pale 25%"
8/12/2014,24.54521,-81.40728,mid-channel reef,no data,no,0%,
8/12/2014,25.0353,-80.3473,other/don't know,no data,no,0%, 
8/12/2014,25.13633,-80.28932,patch reef,no data,yes,no data, 
8/12/2014,25.11167,-80.30917,patch reef,no data,yes,no data, 
8/13/2014,25.13963,-80.29403,patch reef,no data,yes,no data,
8/13/2014,25.27417,-80.21053,patch reef,clear,yes,11-30%,
8/13/2014,23.5909,-79.62067,other/don't know,clear,yes,76-100%,
8/13/2014,24.66373,-82.9312,reef,partly cloudy,yes,1-10%,
8/14/2014,23.9128,-79.83502,other/don't know,clear,yes,76-100%, 
8/15/2014,23.88983,-79.79198,other/don't know,clear,yes,76-100%,
8/17/2014,24.45046,-81.73319,other/don't know,partly cloudy,yes,no data, 
8/18/2014,24.4535,-81.86,hardbottom,partly cloudy,yes,11-30%,
8/18/2014,24.66345,-81.07863,patch reef,clear,yes,11-30%, 
8/19/2014,24.7233,-80.9089,patch reef,clear,yes,31-50%, 
8/19/2014,25.27445,-80.21038,other/don't know,no data,yes,11-30%, 
8/19/2014,24.5695,-81.65267,patch reef,clear,yes,51-75%,
8/20/2014,24.60913,-81.40205,patch reef,partly cloudy,yes,76-100%, 
8/20/2014,24.64312,-82.93073,patch reef,partly cloudy,yes,1-10%,
8/20/2014,24.71732,-80.84237,reef,clear,yes,1-10%, 
8/20/2014,24.5871,-81.23656,forereef,no data,yes,51-75%,
8/20/2014,24.60002,-81.2062,other/don't know,no data,yes,51-75%,
8/20/2014,24.60159,-81.25002,other/don't know,no data,yes,51-75%,
8/20/2014,24.59688,-81.26452,other/don't know,no data,yes,51-75%, 
8/21/2014,24.64312,-82.93073,patch reef,mostly cloudy,yes,11-30%,
8/22/2014,24.61362,-82.87085,other/don't know,clear,yes,31-50%,
8/22/2014,24.52437,-81.63489,mid-channel reef,no data,yes,no data, 
8/23/2014,24.74603,-80.76643,deep reef,clear,no,0%, 
8/23/2014,24.73108,-80.83055,other/don't know,clear,yes,1-10%, 
8/23/2014,24.60928,-82.95172,patch reef,partly cloudy,yes,1-10%,
8/23/2014,24.62355,-82.94247,other/don't know,partly cloudy,yes,1-10%,
8/23/2014,24.67083,-81.94256,patch reef,clear,yes,51-75%, 
8/24/2014,24.70682,-80.86413,deep reef,clear,no,0%, 
8/24/2014,24.70928,-80.87017,reef,clear,yes,1-10%,
8/24/2014,24.72505,-80.92025,patch reef,clear,yes,31-50%,
8/24/2014,24.68682,-82.90733,patch reef,clear,yes,1-10%,
8/24/2014,24.66928,-82.90847,patch reef,partly cloudy,yes,1-10%,
8/24/2014,24.64723,-82.87175,patch reef,partly cloudy,yes,1-10%,
8/24/2014,24.93167,-80.54833,reef,clear,yes,11-30%, 
8/24/2014,24.52028,-81.97403,hardbottom,clear,yes,51-75%, 
8/24/2014,24.5006,-81.62955,reef,no data,yes,1-10%, 
8/25/2014,24.5453,-81.41033,reef,no data,yes,1-10%,
8/25/2014,24.55203,-81.6969,patch reef,partly cloudy,yes,76-100%,
8/25/2014,24.49578,-81.70167,patch reef,partly cloudy,yes,51-75%,
8/25/2014,24.48608,-81.69658,patch reef,partly cloudy,yes,76-100%,
8/25/2014,24.4794,-81.66923,deep reef,partly cloudy,no,0%, 
8/25/2014,25.305,-80.21368,patch reef,partly cloudy,yes,51-75%, 
8/25/2014,24.55133,-81.8083,patch reef,no data,yes,76-100%, 
8/25/2014,24.65925,-82.87847,patch reef,clear,yes,1-10%,
8/25/2014,25.01052,-80.37251,reef,no data,yes,no data, 
8/25/2014,24.55162,-81.69532,inshore,no data,yes,no data, 
8/25/2014,24.59987,-81.4605,hardbottom,no data,yes,31-50%, 
8/26/2014,24.55189,-81.38653,patch reef,no data,yes,76-100%, 
8/26/2014,24.55124,-81.38984,patch reef,no data,yes,76-100%, 
8/26/2014,24.55268,-81.38228,patch reef,no data,yes,51-75%, 
8/27/2014,24.54775,-81.45679,inshore,no data,yes,76-100%, 
8/27/2014,25.0766,-80.38545,patch reef,partly cloudy,yes,51-75%,
8/27/2014,25.07407,-80.38545,patch reef,partly cloudy,yes,31-50%,
8/27/2014,25.07108,-80.3908,patch reef,partly cloudy,yes,31-50%,
8/27/2014,25.07238,-80.39297,patch reef,partly cloudy,yes,31-50%,
8/27/2014,25.1094,-80.34535,patch reef,partly cloudy,yes,31-50%, 
8/27/2014,25.10337,-80.34414,patch reef,partly cloudy,yes,51-75%,
8/27/2014,24.69241,-80.90294,hardbottom,partly cloudy,yes,31-50%, 
8/27/2014,24.7092,-80.82795,hardbottom,partly cloudy,yes,11-30%, 
8/28/2014,24.7763,-81.54653,inshore,no data,yes,no data, 
8/29/2014,24.54686,-81.40279,reef,no data,yes,no data,
8/29/2014,24.54891,-81.41481,other/don't know,no data,yes,no data,
8/29/2014,24.55245,-81.38409,other/don't know,no data,yes,31-50%,
8/29/2014,24.56537,-81.3933,other/don't know,no data,yes,76-100%,
8/29/2014,24.59578,-81.39539,hardbottom,no data,yes,76-100%,
9/3/2014,24.55857,-81.35399,other/don't know,no data,yes,76-100%,
9/3/2014,24.57461,-81.31872,other/don't know,no data,yes,76-100%,
9/3/2014,24.57422,-81.32815,other/don't know,no data,yes,31-50%,
9/3/2014,24.5631,-81.40054,other/don't know,no data,yes,76-100%,
9/3/2014,24.55336,-81.4331,other/don't know,no data,yes,76-100%,
9/3/2014,24.56946,-81.4593,other/don't know,no data,yes,76-100%,"Bleached and dead gorgos again.  Most Past are bleached and
noted some recent mortality on the Past"
9/4/2014,24.53024,-81.47241,other/don't know,no data,yes,76-100%,Some gorgo and sponge mortality
9/4/2014,24.53304,-81.46854,other/don't know,no data,yes,76-100%,Mostly bare rock
9/4/2014,24.53387,-81.47144,other/don't know,no data,yes,76-100%,Acer bleached
9/4/2014,24.53122,-81.48428,other/don't know,no data,yes,76-100%,Acer bleached...outplants
9/4/2014,24.54324,-81.47056,other/don't know,no data,yes,76-100%,Acer bleached...outplants
9/4/2014,24.68238,-82.9262,patch reef,partly cloudy,yes,1-10%,"Palythoa, SSID, MMEA, MCAV, SINT, Oculina frigilis, AAGA, MFRA, and CNAT paling.  one colony of MCAV had black band"
9/5/2014,24.53019,-81.47736,other/don't know,no data,yes,76-100%,"A shallow dive at Hens and Chicks, water was quite warm."
9/5/2014,24.52625,-81.50417,other/don't know,no data,yes,76-100%,
9/5/2014,24.52216,-81.5205,other/don't know,no data,yes,76-100%,Gorgo mortality
9/5/2014,24.52203,-81.52268,other/don't know,no data,yes,76-100%,Gorgo mortality
9/5/2014,24.52701,-81.54655,other/don't know,no data,yes,76-100%,
9/5/2014,24.527,-81.55822,other/don't know,no data,yes,76-100%,
9/5/2014,24.45688,-81.89728,patch reef,clear,yes,51-75%,
9/5/2014,24.45228,-81.87692,reef,clear,yes,51-75%,Some gorgo and sponge mortality
9/6/2014,24.71282,-82.79398,hardbottom,partly cloudy,yes,1-10%,"100% Palythoa bleached, 50% SSIDI bleached, 25 % MCAV bleached, 75% MALC bleached, 50% CNAT pale, 50% AAGA bleached, 25% MFRA pale, 25% SINT pale, 10% DSTO pale, 25 % PAST pale, 100% DSTR pale (of 1 colony), 10% of MYCE pale"
9/8/2014,24.50784,-81.57169,other/don't know,no data,yes,76-100%,
9/8/2014,24.50636,-81.58693,other/don't know,no data,yes,76-100%,
9/8/2014,24.51142,-81.56705,other/don't know,no data,yes,51-75%,"Some gorgo mortality and Palythoa looked better""."""
9/8/2014,24.53903,-81.57218,other/don't know,no data,yes,51-75%,
9/8/2014,24.54393,-81.56706,other/don't know,no data,yes,51-75%,
9/8/2014,24.55421,-81.58885,other/don't know,no data,yes,51-75%,stark white! Even octos were bleached
9/9/2014,24.62548,-81.11178,reef,partly cloudy,yes,31-50%,stark white! Even octos were bleached
9/9/2014,24.6297,-81.09315,reef,partly cloudy,yes,31-50%,"very pale: Dcyl, Colp, Dip spp, O fav, A palm (some totally
bleached white)"
9/10/2014,24.66175,-82.84543,hardbottom,partly cloudy,yes,31-50%,"PAST, ACER, SINT, MMEA, SSID, PPOR, PFUR, MCAV, DSTR all bleaching/paling.  about 50% of ACER colonies have recent mortality, and approx. 75% of ACER bleaching."
9/10/2014,24.68835,-82.88436,hardbottom,no data,yes,11-30%,"AAGA, DLAB, PFUR, DSTR all bleaching.  SSID,MCAV, MYCE paling."
9/10/2014,24.67997,-82.90499,hardbottom,no data,yes,11-30%,"DSTR, SSID paling."
9/11/2014,24.6257,-82.8859,patch reef,clear,yes,31-50%,"50% AAGA bleached, 30% DLAB bleached, 100% strigosa bleached, 30% SSID bleached, 100% MYCE bleached, 50% CNAT bleached, 50% DCLIV bleached, 25% of MDEC pale, 100% MALC bleached, 25% MCAV bleached, 75% Porites bleached"
9/11/2014,25.27403,-80.21027,reef,partly cloudy,yes,51-75%,"bleached: D cyl, S sid,Colp,O fav, O ann,   A agar, Dip spp, P por, P div, Millepora spp, many octocorals including Antillogorgia spp, Plexaura spp, Eunicia spp, Briarium
White Plague on many D cyl"
9/12/2014,24.48155,-81.6805,reef,no data,yes,76-100%,"Approximately 95% bleaching.  approx. 25% of SSID had dark spots.  One barrel sponge was diseased and mainly dead.  The following species were observed, all species observed were bleached.  MFRAN, MMEA, PAST, PFUR, MALC, PPOR, SSID, MCAV, AAGA, DSTR, DLAB, AFRIG, MCAV, DSTO, MANN, MFRI, DCLIV, CNAT, EFAS."
9/12/2014,24.46417,-81.73783,other/don't know,no data,yes,76-100%,
9/12/2014,24.99173,-80.4086,reef,cloudy,yes,31-50%,"D cyl, S sid very pale; bleached: A agar, Dip spp, P por, P div, Millepora spp, Briarium (other octocorals not bleached)"
9/12/2014,25.0445,-80.36997,reef,cloudy,yes,11-30%,Will send pictures later.
9/13/2014,25.10943,-80.33865,patch reef,mostly cloudy,yes,1-10%,
9/13/2014,25.16427,-80.27762,patch reef,mostly cloudy,yes,1-10%,
9/13/2014,25.25858,-80.21045,reef,partly cloudy,yes,1-10%,
9/16/2014,24.62355,-82.94247,other/don't know,partly cloudy,yes,31-50%,"1 colony of DCLIV had black band and approximately 20% of colony has recent death (on side opposite black band), 1 colony of CNAT has black band, 2 colonies of DLAB have unknown disease, 1 colony of DSTR has 100% recent death, 4 colonies of DSTR have black band, 2 colonies of DLAB have 40% recent death, 1 colony of CNAT has 25% recent death.  The following species were observed to be bleaching: MALC (75%), MCAV (50%), SSID (75%), DSTR (25%), MCAV (50%), CNAT (75%), PPOR (100%), DLAB (80%), CNAT (75%), PFUR (100%), MANN (75%), EFAS (100%), Palythoa (100%), DCLIV (25%)"
9/16/2014,24.65492,-82.91255,patch reef,no data,yes,1-10%,"The site is primarily MFRA which was healthy.  One colony of ACER was also observed and was healthy. The following were found at low percentages and had signs of bleaching/paling: DCLIV, MMAN, PAST, PPOR, DLAB, SINT, DSTR, CNAT."
9/17/2014,24.71782,-80.84213,reef,partly cloudy,yes,31-50%,"not sure if sent this one in yet
bleached: D cyl, O fav,  Dip spp, Colp,  P por, P ast,  Aga spp, S sid; octos: many pale and several species bleached
pix  available"
9/17/2014,24.68988,-80.91917,reef,partly cloudy,yes,31-50%,
9/18/2014,24.70566,-82.87178,hardbottom,no data,yes,1-10%,AAGA and SSID had signs of bleaching
9/18/2014,24.60166,-82.95712,hardbottom,no data,yes,1-10%,1 colony of SSID had dark spots.  approx. 50% of SSId pale.  approx. 15% of MFRA pale.
9/18/2014,24.71093,-82.88372,hardbottom,no data,yes,11-30%,"MCAV, SCOL, SSID, MDEC had signs of paling.  PPOR was bleaching"
9/18/2014,24.55229,-81.3838,patch reef,no data,yes,31-50%,
9/18/2014,24.56749,-81.38804,mid-channel reef,no data,yes,51-75%,
9/18/2014,24.56929,-81.38236,mid-channel reef,no data,yes,51-75%, 
9/18/2014,24.59565,-81.37162,mid-channel reef,no data,yes,51-75%,50% Cnat had very active BBD...have pics
9/18/2014,24.5224,-81.51973,reef,no data,yes,31-50%,"PCLI bleached as well as many others.  Favia fragum, Manicina areolata, SSIDs"
9/18/2014,24.81285,-80.66945,reef,mostly cloudy,yes,51-75%,"bleached: O fav, O ann, Dip spp, Colp, A cerv, P por, P ast, Eus, Aga spp, S sid; octos: many pale and several species bleached
O fav - some colonies showing streaks of light brown (zoox!)
pix and movie available"
9/19/2014,25.0683,-80.39239,mid-channel reef,no data,yes,31-50%,lots of dark spot
9/19/2014,25.13079,-80.36442,patch reef,mostly cloudy,yes,31-50%,
9/19/2014,24.47388,-81.74365,reef,mostly cloudy,yes,51-75%,"bleached: D cyl, O fav, O ann, Dip spp, Colp, A cerv, P por, P ast, Eus, Aga spp, S sid; octos: many pale and several species bleached
O fav - some colonies showing streaks of light brown (zoox!)
pix  available"
9/20/2014,24.69156,-82.8439,hardbottom,no data,yes,11-30%,"The following species had signs of paling: MMEA, SINT.  The following species had signs of bleaching/partial bleaching: MYCE, SSID, MUSA, SSID.  One colony of SSID had dark spots"
9/20/2014,24.67549,-82.82593,hardbottom,no data,yes,51-75%,"One colony of SSID had dark spots.   The following species showed signs of bleaching: PDIV, PFUR, AAGA, ODIF, SSID"
9/20/2014,24.62753,-82.83802,hardbottom,no data,yes,11-30%,"The following species had signs of bleaching: SSID, HCUC, PPOR.  The following species had signs of paling: ALAM, PPOR, MCAV, PAST"
9/20/2014,24.63608,-82.80357,hardbottom,no data,yes,11-30%,"The following species had signs of paling: DCLIV.  The following species had signs of bleaching: PFUR, PPOR, PAST, SRAD, SSID"
9/21/2014,24.6425,-82.84444,hardbottom,no data,yes,1-10%,"1 colony of SSID had dark spots.  The following had signs of paling: MMEA, MCAV, PAST, MYCE.  The following had signs of bleaching: SSID, SINT"
9/21/2014,24.58341,-82.97165,hardbottom,no data,yes,31-50%,"The following species had signs of paling: MMEA, MCAV, PPOR, MFRA.  The following species had signs of bleaching: SSID, SINT, MCAV"
9/22/2014,24.61877,-82.92878,hardbottom,no data,yes,11-30%,"Two colonies of SSID had dark spots.  CNAT was paled.  The following species had signs of bleaching/partial bleaching: MUSSA sp, SSID, HLUC, AAGA, MYCE, SINT, MCAV, MFRA, PPOR, PAST"
9/23/2014,24.70743,-82.77335,hardbottom,no data,yes,1-10%,
9/23/2014,24.723,-82.78483,hardbottom,no data,yes,1-10%,
9/24/2014,24.5858,-81.58121,patch reef,no data,yes,no data,"BBD, also found a large cyano matt.  Some dead gorgos."
9/24/2014,24.56271,-81.40353,inshore,no data,yes,51-75%,"Looks like PAST corals are starting to gain some color back, however noticed some recent mortality on several."
9/24/2014,24.61361667,-82.87085,other/don't know,no data,yes,76-100%,"""PPOR, MALC, AAGA, DSTR: 100% Bleached SSID, PAST: ~30-50% bleached APALM: ~75% bleached, mostly on top sides' DCYL: ~95% bleached, some non-bleached in crevices"""
10/1/2014,25.13067,-80.29433,patch reef,no data,yes,76-100%, 
10/1/2014,25.13685,-80.28927,patch reef,no data,yes,76-100%, 
10/1/2014,24.98617,-80.41567,patch reef,no data,yes,76-100%, 
10/1/2014,24.982,-80.42167,patch reef,no data,yes,76-100, 
10/1/2014,24.95183,-80.4594,patch reef,no data,yes,76-100%, 
10/1/2014,24.9425,-80.47383,patch reef,no data,yes,51-75%, 
10/1/2014,24.86298,-80.62232,reef,no data,yes,no data, 
10/1/2014,24.72616,-80.9244,patch reef,no data,yes,no data, 
10/1/2014,25.218124,-80.216046,reef,no data,yes,11-30%, 
10/2/2014,24.5392,-81.57225,patch reef,partly cloudy,yes,31-50%,"M. cav, C. natans, S. sidera, O. annularis were all bleaching, some completely bleached, others were partially bleaching."
10/2/2014,24.54393,-81.56653,patch reef,partly cloudy,yes,31-50%,"S. sidera, O. annularis and O. faviolata were all bleaching, some completely bleached, others were partially bleaching."
10/2/2014,24.55433,-81.58883,patch reef,partly cloudy,yes,51-75%,
10/2/2014,24.52713,-81.55813,patch reef,partly cloudy,yes,51-75%,
10/3/2014,24.84534,-80.62322,reef,no data,yes,no data,black band disease on brain corals
10/3/2014,24.47388,-81.74365,other/don't know,no data,yes,no data,
10/3/2014,24.55162,-81.69532,patch reef,no data,yes,no data,
10/4/2014,24.81507,-80.67003,hardbottom,no data,yes,51-75%,
10/6/2014,24.47388,-81.74365,reef,clear,yes,31-50%,"Dendro still totally white, some hints of brown on edges of some Ofav, Dip spp, Many octos still bleached but some showing signs of recovery, others are sloughing dead tissue
black band: M cav, Meandrina, Dendro; 
white plague - Dendro
purple spot: Sid, Meandrina, M cav"
10/6/2014,24.478,-81.72935,reef,clear,yes,31-50%,"lots of recent dead Apal; Ofav and Dip spp edges showing brownish recovery small A palm and A cerv colonies - under sides brown, top bleached white"
