Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.59302,-81.39772,25,South of Newfound Harbor,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.58355,-81.43275,26,Northwest of Looe Key,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.57533,-81.44495,32,Northwest of Looe Key,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.55347,-81.43355,25,Northwest of Looe Key,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.53052,-81.48757,26,West of American Shoal,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.53000,-81.47765,49,West of American Shoal,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.53388,-81.47165,19,West of American Shoal,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.54310,-81.47065,30,Northeast of American Shoal,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.56302,-81.40228,22,West of Looe Key Research Only Area,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.55833,-81.35378,29,West of Big Pine Shoal,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
In Person, Cory Walter,6/22/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.56760,-81.32977,25, Site O outplant,no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person, Cory Walter,6/22/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.55290,-81.38015,22, Site P Outplant,no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email, Cindy Lewis,6/22/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.72285,-80.86166,20, Tennessee Reef , 11' Mound,Patch Reef, 5-10 kts,88,86,86,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email, Cindy Lewis,6/22/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.75824,-80.76594,25, Tennessee Reef , Stag Party East,Patch Reef, 5-10 kts,88,86,86,clear,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email, Cindy Lewis,6/22/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.74550,-80.77892,20, Tennessee Reef , Tennessee Tower,Bank Reef, 5-10 kts,88,86,86,clear,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,observations by visiting science diver
In Person,Cory Walter,6/24/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.52292,-81.51683,25,Site Q Outplant,American,Bank Reef,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email, Stephanie Schopmeyer,6/25/2015,10:00,Miami ,FL, Research, University of Miami/RSMAS,25.44130,-80.13380,16, Steph's Reef,no data,Patch Reef,no data,no data,no data,86,no data,YES,partial bleaching,partial bleaching,none,none,none,none,none,1-10%,16,13,no data,no data,no data,Went out to observe some outplants from a couple of months ago- the severity of bleaching ranged from just paling to partial bleaching of horizontal branches on Acer
Email, Ben Bartels,6/27/2015,14:15,Big Pine Key,FL, Resident,Big Pine Key Resident,24.61637,-81.39136,9, Newfound Harbor SPA, buoy 5 (east patch),Patch Reef, 0-5 kts,90,87.8,no data,partly cloudy,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email, Kara Claycomb,6/28/2015,14:40,Key West,FL, Research,Dry Tortugas NPS,24.65500,-82.91278,12, Dry Tortugas National Park,no data,Patch Reef, 0-5 kts,90,no data,no data,partly cloudy,YES,partial bleaching,paling,partial bleaching,partial bleaching,none,none,none,1-10%,11,7.5,no data,no data,no data,3 colonies of OFAV had black band.  5% of corals had recent death
In Person, Cory Walter,6/29/2015,14:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.55320,-81.43758,22, ACER 24,no data,other/don't know, Calm,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person, Cory Walter,6/29/2015,10:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.53701,-81.43031,80, Looe Deep Reef, broken buoy,Deep Reef, Calm,no data,no data,no data,no data,YES,paling,none,none,paling,none,none,none,1-10%,80,60,no data,no data,no data,Mostly just SSID
In Person,Cory Walter,6/30/2015,10:30:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.45247,-81.88059,19,Sand Key,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,
Email,Mitch Andrews,7/2/2015,11:00,Summerland Key,FL,Education,Order of the Arrow,24.52600,-81.55175,25,Lower Keys,no data,Patch Reef,15-20 kts,88,no data,no data,partly cloudy,YES,paling,none,none,paling,none,none,none,11-30%,10,8,no data,no data,no data,
Email,Andy Widman,7/6/2015,16:30,Summerland Key,FL,Education,Order of the Arrow,24.66600,-81.07095,15,East Washerwerwoman,SSW of marker,Patch Reef,no data,no data,no data,no data,partly cloudy,YES,paling,none,none,paling,none,none,none,1-10%,15,8,no data,no data,no data,
Email,Andy Widman,7/6/2015,17:30,Summerland Key,FL,Education,Order of the Arrow,24.66504,-81.07352,no data,East Washerwerwoman,SSW of marker,Patch Reef,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email, Cindy Lewis,7/6/2015,10:00,Long Key,FL, Research, Keys Marine Lab,24.90046,-80.61723,20, Cheeca Rocks SPA,no data,Patch Reef, 5-10 kts,90,86,86,clear,YES,paling,none,paling,paling,none,none,none,1-10%,20,15,no data,no data,no data,"paling noted: S sid, D strig, M cav, C nat, P ast BBD: D strig - photos observations made by KML staff and visiting researcher"
Email, Cindy Lewis,7/6/2015,12:00,Long Key,FL, Research, Keys Marine Lab,24.84724,-80.62019,25, Alligator Reef SPA, Allig #1 west end,Bank Reef, 5-10 kts,90,86,86,clear,YES,paling,paling,none,none,none,none,none,1-10%,20,20,no data,no data,no data,A cerv outplants along ledge - paling branches (not the growth tips)
Email,Andy Widman,7/7/2015,10:45,Summerland Key,FL,Education,Order of the Arrow,24.68440,-80.96650,no data, Coffins Patch SPA,NNW of Wreck,Bank Reef,5-10 kts,no data,no data,no data,no data,YES,upper surface,none,paling,none,none,none,none,1-10%,20,10,no data,no data,no data,
Email,Andy Widman,7/7/2015,10:45,Summerland Key,FL,Education,Order of the Arrow,24.68489,-80.96512,no data, Coffins Patch SPA,NNW of Wreck,Bank Reef,5-10 kts,no data,no data,no data,no data,YES,paling,paling,none,none,none,none,none,11-30%,20,10,no data,no data,no data,
Email,Andy Widman,7/7/2015,10:45,Summerland Key,FL,Education,Order of the Arrow,24.68188,-80.97092,no data, Coffins Patch SPA,NNW of Wreck,Bank Reef,5-10 kts,no data,no data,no data,no data,YES,paling,none,none,paling,none,none,none,11-30%,20,10,no data,no data,no data,
Email,Andy Widman,7/7/2015,10:45,Summerland Key,FL,Education,Order of the Arrow,24.68500,-80.96700,no data, Coffins Patch SPA,NNW of Wreck,Bank Reef,5-10 kts,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person,Cory Walter,7/7/2015,9:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.55268,-81.38230,no data,CWV Site,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,
In Person,Cory Walter,7/7/2015,12:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.62148,-81.36317,no data,Inshore Coral Culture,no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person,Cory Walter,7/8/2015,10:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.53701,-81.43031,70, Looe Deep Reef,no data,Deep Reef,no data,no data,no data,no data,no data,YES,paling,none,none,paling,paling,none,paling,1-10%,no data,no data,no data,no data,no data,Mostly SSID
In Person,Cory Walter,7/8/2015,13:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.55182,-81.38751,no data,Site N Outplant,no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person,Cory Walter,7/9/2015,10:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.55290,-81.38015,no data,Site P Ouptlant,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,none,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,
Email,Destiny Freeman,7/10/2015,10:00,Summerland Key,FL,Education,Order of the Arrow,24.54587,-81.40658,no data,Looe Key SPA,no data,Bank Reef,no data,no data,no data,no data,partly cloudy,YES,paling,paling,paling,paling,none,none,none,1-10%,20,15,no data,no data,no data,
Email, Ashley Siana,7/11/2015,13:00,Key West,FL, Research,Dry Tortugas NPS,24.61362,-82.87085,15, Magic Castle,no data,Patch Reef, 5-10 kts,no data,85,no data,partly cloudy,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email,Ryann Valmonte,7/11/2015,11:00,Key Largo,FL, Resident,Upper Keys Resident,25.13822,-80.28880,25,North North Dry Rocks,no data,other/don't know, 5-10 kts,no data,no data,no data,clear,YES,paling,paling,paling,paling,none,none,none,1-10%,25,8,no data,no data,no data,
Email, Ian Tomcho,7/11/2015,10:00,Key West,FL, Research,Dry Tortugas NPS,24.62079,-82.86737,10, Dry Tortugas National Park,Near Bush Key,Patch Reef,no data,no data,no data,84.8,partly cloudy,YES,paling,paling,unknown,none,none,none,none,11-30%,8,6,no data,no data,no data,
Email, Ian Tomcho,7/11/2015,12:00,Key West,FL, Research,Dry Tortugas NPS,24.62053,-82.86911,8, Dry Tortugas National Park,Site 1,Patch Reef,no data,no data,84,84,partly cloudy,YES,paling,paling,unknown,none,none,none,none,1-10%,8,6,no data,no data,no data,
Email, Ashley Siana,7/11/2015,12:00,Key West,FL, Research,Dry Tortugas NPS,24.61616,-82.86726,75, Dry Tortugas National Park,Site 2,other/don't know, 5-10 kts,no data,90,85,partly cloudy,YES,paling,none,none,paling,none,none,none,11-30%,65,45,no data,no data,no data,
Email, Ben Bartels,7/12/2015,10:45,Big Pine Key,FL, Resident,Big Pine Key Resident,24.54566,-81.40498,25,Looe Key SPA, buoy 10,Bank Reef, 5-10 kts,90,84.3,no data,partly cloudy,YES,upper surface,none,none,paling,none,none,none,1-10%,21,15,no data,no data,no data,
In Person,Cory Walter,7/13/2015,12:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.45247,-81.88059,no data,Site S Outplant,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,none,paling,paling,none,none,paling,1-10%,no data,no data,fire coral,no data,no data,
Email, Ashley Siana,7/13/2015,12:00,Key West,FL, Research,Dry Tortugas NPS,24.82694,-82.93333,49, Dry Tortugas National Park,Site 3,Bank Reef, 0-5 kts,no data,no data,82,partly cloudy,YES,paling,unknown,none,none,none,none,none,1-10%,no data,no data,palythoa,no data,no data,
Email, Teri Gauthier,7/14/2015,12:00,Key West,FL, Resident,Key West Resident,24.54309,-81.79013,15, coral heads off of the Casa Marina in Key West,no data,Hardbottom , 0-5 kts,90,no data,no data,no data,YES,partial bleaching,none,partial bleaching,partial bleaching,partial bleaching,none,none,31-50%,15,6,gorgonians,no data,no data,"There was a lot of what looked like older damage to many of the large boulder corals, with algae growth"
Email, Ashley Siana,7/14/2015,no data,Key West,FL, Research,Dry Tortugas NPS,24.82694,-82.93330,51, Dry Tortugas National Park,Site 4,Bank Reef, 5-10 kts,no data,82,no data,partly cloudy,YES,paling,partial bleaching,none,none,none,none,none,1-10%,30,15,palythoa,no data,no data,
Email, Gabrielle Renchen,7/14/2015,12:00,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.55704,-81.50890,24, Coral no trap area # 9 (Areas created by Gulf Council closed to," ~~100m from coords, 270 heading",Mid-Channel Reef, 10-15 kts,no data,no data,84,partly cloudy,YES,paling,none,paling,paling,none,none,none,1-10%,24,19,no data,no data,no data,"Species paling: Mcav, Pstr"
Email, Kayla Nimmo,7/15/2015,12:00,Key West,FL, Research,Dry Tortugas NPS,24.61006,-82.94866,38, Shallow Maze,no data,Bank Reef, 0-5 kts,no data,85,no data,partly cloudy,YES,paling,none,none,paling,none,none,none,1-10%,32,25,no data,no data,no data,
Email, Gabrielle Renchen,7/15/2015,12:23,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.46127,-81.84614,15, Eastern Dry Rocks SPA," 0-100 m from coords, 260 heading",Bank Reef,no data,no data,no data,86,partly cloudy,YES,paling,none,none,none,none,none,none,1-10%,15,6,palythoa,no data,no data,Lots of Palythoa paling
In Person,Cory Walter,7/16/2015,10:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.45235,-81.88078,no data,Sand Key,no data,Bank Reef,no data,no data,no data,no data,no data,YES,paling,paling,none,paling,none,none,paling,1-10%,no data,no data,no data,no data,no data,
Email, Katy McGinnis,7/16/2015,12:30,Key Largo,FL,Education,Marine Resources,25.01052,-80.37251,no data, Molasses,no data,Bank Reef, 5-10 kts,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email, Stephanie Schopmeyer,7/16/2015,12:00,Miami,FL, Research, University of Miami/RSMAS,25.36260,-80.16640,20, South Nursery Patch Reef,no data,other/don't know,no data,88,87,87,partly cloudy,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email, Gabrielle Renchen,7/16/2015,no data,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.45105,-81.89719,27, ~1.5 miles west of Sand Key SPA," ~80m from coords, 70 heading",Bank Reef, 0-5 kts,no data,no data,86,partly cloudy,YES,paling,none,none,partial bleaching,none,none,none,1-10%,27,25,no data,no data,no data,Siderastrea siderea partially bleached-fluorescing
Email, Stephanie Schopmeyer,7/17/2015,no data,Miami,FL, Research, University of Miami/RSMAS,25.58850,-80.10440,15, Fowey Rocks,no data,Hardbottom ,no data,no data,no data,87,clear,NO,partial bleaching,none,none,none,none,none,none,0%,15,12,fire coral,no data,no data,No hard corals were bleaching but MALC were pale or partially bleached.
Email, Sarah Egner,7/17/2015,12:00,Key Largo,FL,Education,Marine Resources,25.01052,-80.37251,25, Molasses, 9/Winch Hole,Bank Reef,no data,no data,no data,no data,clear,YES,paling,none,none,paling,none,none,none,1-10%,20,20,palythoa,no data,no data,Orbicella  faveolata paling
Email, Cindy Lewis,7/17/2015,10:00,Long Key,FL, Research, Keys Marine Lab,24.76656,-80.75404,20, Tennessee ROA, NE corner,Patch Reef, 0-5 kts,90,88,88,partly cloudy,YES,paling,none,paling,paling,none,none,none,1-10%,20,15,palythoa,no data,no data," paling: M cav, Meandrina, Diploria spp, C nat A cerv looked fine but ~ 30-40% los of live colonies after 2014 bleaching, lots of fireworm predation.  No active disease observed"
Email, Cindy Lewis,7/17/2015,12:00,Long Key,FL, Research, Keys Marine Lab,24.76656,-80.75404,20, Tennessee ROA,no data,Patch Reef, 5-10 kts,90,88,88,clear,YES,paling,none,paling,paling,none,none,none,1-10%,20,18,palythoa,no data,no data,"A cerv looked fine so far but lots of fireworm predation, paling: M cav, C nat, D cliv, S sid.  No disease observed"
In Person,Cory Walter,7/20/2015,12:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.55268,-81.38230,25,CWV Site,no data,Patch Reef,5-10 kts,no data,no data,no data,no data,YES,paling,none,paling,paling,none,none,none,1-10%,no data,no data,palythoa,fire coral,no data,
Email, Jessica Dockery,7/22/2015,10:00,Key Largo,FL,Education,Marine Resources,25.03530,-80.34730,35, French Reef, F5,Bank Reef, 5-10 kts,no data,no data,83,partly cloudy,YES,paling,paling,partial bleaching,paling,none,none,none,1-10%,35,15,no data,no data,no data,
Email, Jessica Dockery,7/22/2015,11:00,Key Largo,FL,Education,Marine Resources,25.00805,-80.37758,30, Molasses, M25,Bank Reef, 5-10 kts,no data,no data,84,partly cloudy,YES,paling,partial bleaching,partial bleaching,paling,none,none,none,1-10%,30,15,no data,no data,no data,
Email, Cindy Lewis,7/23/2015,10:30,Long Key,FL, Research, Keys Marine Lab,24.94627,-80.47065,25, U-55, Little Conch Reef,Patch Reef, 0-5 kts,90,87,88,partly cloudy,YES,paling,paling,paling,paling,none,none,none,1-10%,25,20,no data,no data,no data,"paling: D strig, Meandrina, D lab disease: A cerv - WBD/RTL"
Email, Cindy Lewis,7/23/2015,14:00,Long Key,FL, Research, Keys Marine Lab,24.94283,-80.49645,25,Davis Reef,U-90,Patch Reef, 0-5 kts,90,86,88,partly cloudy,YES,paling,paling,paling,paling,none,none,none,1-10%,25,20,no data,no data,no data," M cav, S bour, C nat, P por A cerv - WBD/RTL, O ann - WP?"
Email,Andy Widman,7/24/2015,16:00,Summerland Key,FL,Education,Order of the Arrow,24.62572,-81.11760,25, Sombrero Reef SPA,West of Lighthouse,Bank Reef,no data,no data,no data,no data,no data,YES,upper surface,none,none,paling,none,none,none,1-10%,25,15,no data,no data,no data,
Email, Cindy Lewis,7/24/2015,10:00,Long Key,FL, Research, Keys Marine Lab,24.77723,-80.73637,25, Tennessee Reef ,Stag Party East,Patch Reef, 5-10 kts,90,86,88,partly cloudy,YES,paling,paling,none,none,none,none,none,1-10%,25,20,fire coral,no data,no data,"as reported by L Larson - A cerv monitoring some A cerv - pale, WBD/RTL"
Email, Cindy Lewis,7/24/2015,12:00,Long Key,FL, Research, Keys Marine Lab,24.75830,-80.76575,25, Tennessee Reef ,Stag Party East,Patch Reef, 5-10 kts,90,86,89,partly cloudy,YES,paling,paling,none,none,none,none,none,1-10%,25,20,no data,no data,no data,"reported by L Larson - A cerv monitoring site, some A cerv pale bottom 5' noticeably hot and green - shimmering picnocline"
Email,Andy Widman,7/26/2015,13:30,Summerland Key,FL,Education,Order of the Arrow,24.68997,-81.02950,25,Marker 48,2 buoys west of marker,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,25,10,no data,no data,no data,
